Cosa definiscono i primi 12 articoli della Costituzione italiana?,"Definiscono i principi fondamentali, ovvero i valori ai quali si devono uniformare le leggi della Repubblica."
I principi fondamentali della Costituzione possono essere oggetto di modifica o revisione costituzionale?,"No, non possono essere oggetto di modifica e di revisione costituzionale."
"Secondo l'articolo 1, su cosa è fondata la Repubblica italiana?",La Repubblica italiana è fondata sul lavoro.
A chi appartiene la sovranità in Italia secondo l'articolo 1 della Costituzione?,La sovranità appartiene al popolo.
Come esercita il popolo la sua sovranità?,La esercita nei modi e nei limiti previsti dalla stessa Costituzione.
"Il potere politico in Italia deriva da una libera competizione che si realizza attraverso _____, le libere elezioni e il pluralismo dei partiti.",il suffragio universale
"Elenca uno dei pilastri della repubblica democratica italiana menzionati nel testo, oltre al suffragio universale.","Il pluralismo dei partiti (o la regola della maggioranza, la tutela delle minoranze, la separazione dei poteri, la libertà di espressione)."
Quale principio fondamentale è affermato nell'articolo 2 della Costituzione?,Il riconoscimento dei diritti inviolabili dell'uomo.
La forte affermazione dei diritti inviolabili nell'articolo 2 fu una reazione alle violazioni avvenute durante quale periodo storico?,Il periodo fascista.
Come sono considerati i diritti inviolabili riconosciuti dall'articolo 2?,Sono considerati come insiti nella natura stessa dell'uomo.
I diritti inviolabili dell'articolo 2 sono riconosciuti solo all'individuo singolo?,"No, sono riconosciuti sia quando esercitati individualmente sia all'interno di gruppi sociali."
Fornisci un esempio di gruppo sociale menzionato nel testo all'interno del quale si esercitano i diritti inviolabili.,"La famiglia (o la scuola, i sindacati, i partiti)."
"Oltre al riconoscimento dei diritti, cosa richiede l'articolo 2 ai cittadini?","Il rispetto dei doveri inderogabili di solidarietà politica, economica e sociale."
"Secondo i principi costituzionali, quale deve essere lo scopo della libertà dei singoli?","Deve servire al benessere collettivo, non al raggiungimento di un mero interesse personale."
"Concetto: Uguaglianza formale (Art. 3, comma 1)","È il principio secondo cui tutti i cittadini sono uguali davanti alla legge senza distinzioni (di sesso, razza, lingua, ecc.)."
Il primo comma dell'articolo 3 stabilisce il principio di _____.,uguaglianza formale
"Concetto: Uguaglianza sostanziale (Art. 3, comma 2)",È il principio che attribuisce allo Stato il compito di rimuovere gli ostacoli che impediscono l'esercizio effettivo dell'uguaglianza.
Il secondo comma dell'articolo 3 stabilisce il principio di _____.,uguaglianza sostanziale
"Cosa sono le ""azioni positive"" menzionate in relazione all'articolo 3?",Sono trattamenti differenziati che favoriscono i soggetti più deboli per realizzare l'uguaglianza sostanziale.
Quale regola sintetizza e completa i principi di uguaglianza formale e sostanziale?,La legge deve trattare in modo uguale situazioni uguali e in modo diverso situazioni diverse.
Quale articolo della Costituzione stabilisce la condizione giuridica degli stranieri?,L'articolo 10.
A chi viene riconosciuto il diritto di asilo in Italia secondo l'articolo 10?,"Ai rifugiati, cioè coloro ai quali nel proprio paese non è concesso l'esercizio delle libertà democratiche."
Cosa sancisce l'articolo 11 della Costituzione riguardo alla guerra?,Sancisce il ripudio della guerra come strumento di offesa alla libertà dei popoli e di risoluzione dei contrasti tra stati.
Quale fu la motivazione storica dei costituenti nell'includere il ripudio della guerra nell'articolo 11?,La volontà di evitare tragedie come le guerre appena vissute e assicurare una pace duratura.
"Oltre a ripudiare la guerra, cosa favorisce l'Italia secondo l'articolo 11?",Favorisce la partecipazione a organismi internazionali e sovranazionali.
A quale condizione l'Italia favorisce la partecipazione a organismi internazionali?,In condizioni di parità.
Il testo cita l'ONU come esempio di quale tipo di organismo?,Un organismo internazionale.
Il testo cita l'Unione Europea come esempio di quale tipo di organismo?,Un organismo sovranazionale.